"transactions","total","future_candidate","avg_contribution"
17437,"$423,585.82","NONE","$24.29"
27492,"$182,889.27","AZ","$6.65"
29127,"$166,397.74","KY","$5.71"
28186,"$159,511.43","ME","$5.66"
27695,"$149,068.85","CO","$5.38"
32561,"$143,555.64","GA","$4.41"
26547,"$127,900.07","NC","$4.82"
26943,"$122,066.41","IA","$4.53"
16470,"$89,573.93","TX","$5.44"
17091,"$67,423.09","SC","$3.94"
12548,"$46,366.38","AK","$3.70"
3422,"$24,225.36","NJ 02","$7.08"
5895,"$16,279.60","TX 23","$2.76"
5918,"$16,090.85","PA 10","$2.72"
5931,"$16,087.53","PA 01","$2.71"
5855,"$16,066.73","MN 01","$2.74"
5949,"$15,992.28","GA 07","$2.69"
5937,"$15,911.33","NY 24","$2.68"
5927,"$15,872.77","OH 01","$2.68"
5953,"$15,865.32","NE 02","$2.67"
5865,"$15,831.28","WA 03","$2.70"
5843,"$15,814.34","IL 13","$2.71"
5917,"$15,800.10","MO 02","$2.67"
5886,"$15,737.64","MI 06","$2.67"
5867,"$15,690.56","IN 05","$2.67"
3285,"$8,082.80","MT","$2.46"
2626,"$7,185.73","KS","$2.74"
1891,"$4,025.35","NE","$2.13"
2034,"$4,014.42","LA","$1.97"
1942,"$3,998.47","NM","$2.06"
1773,"$3,669.43","ID","$2.07"
1720,"$3,593.21","OK","$2.09"
1817,"$3,541.39","AR","$1.95"
1770,"$3,537.66","TN","$2.00"
1827,"$3,514.85","MS","$1.92"
1729,"$3,393.11","WV","$1.96"
1680,"$3,324.69","SD","$1.98"
1709,"$3,303.70","WY","$1.93"
37,"$2,760.00","CA 25","$74.59"
91,"$1,719.89","FL 01","$18.90"
59,"$1,639.84","CA 22","$27.79"
71,"$1,131.02","NY 01","$15.93"
64,"$958.58","TX 24","$14.98"
56,"$929.19","OH 04","$16.59"
20,"$855.00","NY 21","$42.75"
73,"$621.30","GA 09","$8.51"
4,"$550.00","TX 04","$137.50"
45,"$460.96","IA 04","$10.24"
41,"$295.75","TX 21","$7.21"
13,"$293.25","TX 02","$22.56"
27,"$262.88","FL 06","$9.74"
3,"$256.00","TX 12","$85.33"
6,"$255.00","OH 02","$42.50"
28,"$248.13","VA 05","$8.86"
30,"$228.87","TX 22","$7.63"
4,"$227.00","OH 10","$56.75"
19,"$211.89","NC 11","$11.15"
19,"$202.00","CA 23","$10.63"
14,"$185.00","WI","$13.21"
18,"$185.00","MI 07","$10.28"
18,"$180.00","TX 31","$10.00"
16,"$168.00","NJ 04","$10.50"
24,"$164.88","NC 06","$6.87"
5,"$163.00","TX 11","$32.60"
4,"$163.00","UT 02","$40.75"
26,"$162.87","GA 01","$6.26"
23,"$154.45","CO 03","$6.72"
2,"$151.00","AR 01","$75.50"
23,"$150.87","NC 07","$6.56"
17,"$148.00","NY 23","$8.71"
15,"$142.88","SC 05","$9.53"
15,"$141.00","MI 01","$9.40"
19,"$136.19","CA 08","$7.17"
44,"$136.06","KS 02","$3.09"
22,"$129.45","FL 18","$5.88"
17,"$128.00","FL 03","$7.53"
26,"$127.25","NC 02","$4.89"
19,"$126.45","FL 25","$6.66"
14,"$124.00","NV 02","$8.86"
16,"$123.45","IL 12","$7.72"
4,"$121.00","WI 06","$30.25"
64,"$118.04","FL 15","$1.84"
18,"$116.00","GA 12","$6.44"
13,"$115.00","PA","$8.85"
16,"$114.00","FL 12","$7.13"
5,"$112.43","WI 01","$22.49"
6,"$112.00","OH 15","$18.67"
13,"$111.00","CA 42","$8.54"
10,"$108.00","IL 16","$10.80"
10,"$108.00","NC 08","$10.80"
4,"$107.45","OH 14","$26.86"
60,"$107.19","AZ 06","$1.79"
