"fec_id","name","transactions","total","avg_contribution","candidate_fec_id","candidate_name","office","state","district","incumbent_challenger","is_authorized_committee","is_principal_committee"
"C00708057","SENATE IMPACT: AZ, IA & NM",11,"$356,020.00","$32,365.45",,,,,,,FALSE,FALSE
"C00719609","PROBLEM SOLVERS HEROES",14,"$374,250.00","$26,732.14",,,,,,,FALSE,FALSE
"C00730747","COLORADO SENATE VICTORY 2020",2,"$45,500.00","$22,750.00",,,,,,,FALSE,FALSE
"C00714691","ILLINOIS SENATE VICTORY 2020",11,"$171,050.00","$15,550.00",,,,,,,FALSE,FALSE
"C00672584","JOE KENNEDY HOUSE VICTORY FUND",3,"$43,300.00","$14,433.33",,,,,,,FALSE,FALSE
"C00701045","MAINTAINING A MAJORITY",2,"$28,000.00","$14,000.00",,,,,,,FALSE,FALSE
"C00721712","HARDER 2020 VICTORY FUND",7,"$95,600.00","$13,657.14",,,,,,,FALSE,FALSE
"C00704569","2020 SENATE IMPACT",35,"$400,550.00","$11,444.29",,,,,,,FALSE,FALSE
"C00711762","THE TOP 4 2020 COMMITTEE",34,"$342,000.00","$10,058.82",,,,,,,FALSE,FALSE
"C00625020","MURPHY VICTORY FUND",1,"$10,000.00","$10,000.00",,,,,,,FALSE,FALSE
"C00731471","SPANBERGER VICTORY FUND 2020",1,"$10,000.00","$10,000.00",,,,,,,FALSE,FALSE
"C00415992","BLUMENAUER CENTURY FUND",6,"$58,000.00","$9,666.67","H6OR03064","BLUMENAUER, EARL","H","OR","3 ","I",FALSE,FALSE
"C00492421","NANCY PELOSI VICTORY FUND",125,"$1,120,893.28","$8,967.15","H8CA05035","PELOSI, NANCY","H","CA","12","I",FALSE,FALSE
"C00680777","CALIFORNIA CANDIDATES VICTORY FUND",27,"$238,600.00","$8,837.04",,,,,,,FALSE,FALSE
"C00731703","AL MI MN VICTORY 2020",1,"$8,400.00","$8,400.00",,,,,,,FALSE,FALSE
"C00715839","DEM SENATE 2020",20,"$151,800.00","$7,590.00",,,,,,,FALSE,FALSE
"C00724104","CISNEROS VICTORY FUND 2020",2,"$15,000.00","$7,500.00",,,,,,,FALSE,FALSE
