"fec_id","name","transactions","total","avg_contribution","candidate_fec_id","candidate_name","office","state","district","incumbent_challenger","is_authorized_committee","is_principal_committee"
"C00696948","BERNIE 2020",3173232,"$54,449,621.02","$17.16","P60007168","SANDERS, BERNARD","P","US","0 ","C",FALSE,TRUE
"C00693234","WARREN FOR PRESIDENT, INC.",1668409,"$36,503,819.65","$21.88","P00009621","WARREN, ELIZABETH","P","US","0 ","C",FALSE,TRUE
"C00697441","PETE FOR AMERICA, INC.",1234109,"$30,300,874.76","$24.55","P00010298","BUTTIGIEG, PETE","P","US","0 ","C",FALSE,TRUE
"C00000935","DCCC",1183970,"$21,603,103.70","$18.25",,,,,,,FALSE,FALSE
"C00659938","FRIENDS OF ANDREW YANG",726437,"$20,837,015.48","$28.68","P00006486","YANG, ANDREW MR.","P","US","0 ","C",FALSE,TRUE
"C00703975","BIDEN FOR PRESIDENT",813783,"$20,362,312.01","$25.02","P80000722","BIDEN, JOSEPH R JR","P","US","0 ","C",FALSE,TRUE
"C00711549","AMY MCGRATH FOR SENATE, INC.",442368,"$14,614,019.50","$33.04","S0KY00339","MCGRATH, AMY","S","KY","0 ","C",FALSE,TRUE
"C00696419","AMY FOR AMERICA",373151,"$14,240,575.76","$38.16","P80006117","KLOBUCHAR, AMY J.","P","US","0 ","C",FALSE,TRUE
,,4841255,"$13,350,476.79","$2.76",,,,,,,,
"C00042366","DSCC",476735,"$11,460,541.50","$24.04",,,,,,,FALSE,FALSE
"C00694455","KAMALA HARRIS FOR THE PEOPLE",450444,"$9,115,646.02","$20.24","P00009423","HARRIS, KAMALA D.","P","US","0 ","C",FALSE,TRUE
"C00010603","DNC SERVICES CORP./DEM. NAT'L COMMITTEE",314174,"$8,801,392.84","$28.01",,,,,,,FALSE,FALSE
"C00695510","CORY 2020",355227,"$8,181,830.32","$23.03","P00009795","BOOKER, CORY A.","P","US","0 ","C",FALSE,TRUE
"C00696526","MARK KELLY FOR SENATE",257546,"$7,485,805.21","$29.07","S0AZ00350","KELLY, MARK","S","AZ","0 ","C",FALSE,TRUE
"C00573261","END CITIZENS UNITED",539837,"$6,914,528.49","$12.81",,,,,,,FALSE,FALSE
"C00580068","PROGRESSIVE TURNOUT PROJECT",482300,"$6,570,002.25","$13.62",,,,,,,FALSE,FALSE
"C00693713","TULSI NOW",289242,"$5,824,773.08","$20.14","P00009183","GABBARD, TULSI","P","US","0 ","C",FALSE,TRUE
"C00693515","FAIR FIGHT",126333,"$5,772,223.24","$45.69",,,,,,,FALSE,FALSE
"C00693044","JULIAN FOR THE FUTURE",324419,"$5,746,417.45","$17.71","P00009092","CASTRO, JULIAN","P","US","0 ","C",FALSE,TRUE
"C00696153","JAIME HARRISON FOR US SENATE",206992,"$5,064,679.89","$24.47","S0SC00289","HARRISON, JAIME","S","SC","0 ","C",FALSE,TRUE
"C00709899","SARA GIDEON FOR MAINE",116580,"$4,773,430.48","$40.95","S0ME00111","GIDEON, SARA","S","ME","0 ","C",FALSE,TRUE
"C00699090","BETO FOR AMERICA",198281,"$4,531,374.14","$22.85","P00010793","O'ROURKE, ROBERT BETO","P","US","0 ","C",FALSE,TRUE
"C00696054","MARIANNE WILLIAMSON FOR PRESIDENT",184051,"$4,523,691.94","$24.58","P00009910","WILLIAMSON, MARIANNE","P","US","0 ","C",FALSE,TRUE
"C00603084","NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC",278086,"$3,608,135.39","$12.97",,,,,,,FALSE,FALSE
