"fec_id","name","transactions","total","avg_contribution","candidate_fec_id","candidate_name","office","state","district","incumbent_challenger","is_authorized_committee","is_principal_committee"
"C00718908","MATT JONES FOR KENTUCKY EXPLORATORY COMMITTEE",11,"$14,034.00","$1,275.82","S0KY00370","JONES, MATT","S","KY","0 ","C",FALSE,TRUE
"C00703116","WRIGHT FOR CONGRESS",34,"$43,085.80","$1,267.23","H8MN01303","WRIGHT, RICHARD","H","MN","1 ","C",FALSE,TRUE
"C00244335","CITIZENS FOR ELEANOR HOLMES NORTON",8,"$9,802.70","$1,225.34","H0DC00058","NORTON, ELEANOR HOLMES","H","DC","0 ","I",FALSE,TRUE
"C00430991","FRIENDS FOR GREGORY MEEKS",67,"$70,331.09","$1,049.72","H8NY06048","MEEKS, GREGORY W.","H","NY","5 ","I",FALSE,TRUE
"C00258475","ANNA ESHOO FOR CONGRESS",356,"$336,728.00","$945.87","H8CA12098","ESHOO, ANNA G","H","CA","18","I",FALSE,TRUE
"C00287904","SHEILA JACKSON LEE FOR CONGRESS",72,"$67,774.40","$941.31","H4TX18054","LEE, SHEILA JACKSON","H","TX","18","I",FALSE,TRUE
"C00226522","RICHARD E NEAL FOR CONGRESS COMMITTEE",164,"$142,023.00","$865.99","H8MA02041","NEAL, RICHARD E MR.","H","MA","1 ","I",FALSE,TRUE
"C00226928","PALLONE FOR CONGRESS",137,"$117,040.00","$854.31","H8NJ03073","PALLONE, FRANK JR","H","NJ","6 ","I",FALSE,TRUE
"C00723338","JAMES FOR COLORADO",253,"$210,807.90","$833.23","H0CO03157","IACINO, JAMES","H","CO","3 ","C",FALSE,TRUE
"C00346080","CLAY JR. FOR CONGRESS",54,"$44,211.00","$818.72","H0MO01066","CLAY, WILLIAM LACY JR","H","MO","1 ","I",FALSE,TRUE
"C00712323","JON TREACY FOR SENATE",26,"$21,265.00","$817.88","S0ME00129","TREACY, JONATHAN","S","ME","0 ","C",FALSE,TRUE
"C00720516","KHAZEI FOR CONGRESS",993,"$779,979.95","$785.48","H0MA04176","KHAZEI, ALAN","H","MA","4 ","C",FALSE,TRUE
"C00706325","MARCO FOR CONGRESS",166,"$123,513.10","$744.05","H0NM03136","SERNA, MARCO","H","NM","3 ","O",FALSE,TRUE
"C00730408","SIMA FOR TEXAS",508,"$369,338.40","$727.04","H0TX02106","LADJEVARDIAN, SIMA JANDAGHI","H","TX","2 ","C",FALSE,TRUE
"C00720912","FRIENDS OF SURAJ PATEL",452,"$317,308.30","$702.01","H8NY12129","PATEL, SURAJ","H","NY","12","C",FALSE,TRUE
"C00715045","MARLENE CINTRON FOR CONGRESS",28,"$19,197.08","$685.61","H0NY15251","CINTRON, MARLENE","H","NY","15","O",FALSE,TRUE
"C00720417","YDANIS FOR CONGRESS",67,"$45,774.08","$683.20","H0NY15269","RODRIGUEZ, YDANIS","H","NY","15","O",FALSE,TRUE
"C00334706","NAPOLITANO FOR CONGRESS",23,"$15,710.00","$683.04","H8CA34068","NAPOLITANO, GRACE","H","CA","32","I",FALSE,TRUE
"C00730648","FRIENDS OF ED COHEN AND AMERICA",5,"$3,350.00","$670.00","H0NV02217","COHEN, EDWARD G.","H","NV","2 ","C",FALSE,TRUE
"C00721449","JAKE AUCHINCLOSS FOR CONGRESS",637,"$410,161.51","$643.90","H0MA04192","AUCHINCLOSS, JAKE","H","MA","4 ","C",FALSE,TRUE
"C00506832","MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE",162,"$103,693.67","$640.08","H2TX33073","VEASEY, MARC ALLISON MR.","H","TX","33","I",FALSE,TRUE
"C00391029","JIM COSTA FOR CONGRESS",5,"$3,105.00","$621.00","H4CA20082","COSTA, JIM","H","CA","16","I",FALSE,TRUE
"C00543363","CITIZENS FOR BOYLE",53,"$32,604.00","$615.17","H4PA13199","BOYLE, BRENDAN F","H","PA","2 ","I",FALSE,TRUE
"C00701953","ADRIANO ESPAILLAT FOR CONGRESS",104,"$63,330.09","$608.94","H2NY13096","ESPAILLAT, ADRIANO","H","NY","13","I",FALSE,TRUE
"C00259143","LUCILLE ROYBAL-ALLARD FOR CONGRESS",20,"$12,056.00","$602.80","H2CA33048","ROYBAL-ALLARD, LUCILLE","H","CA","40","I",FALSE,TRUE
"C00513531","FILEMON VELA FOR CONGRESS",18,"$10,650.00","$591.67","H2TX27190","VELA, FILEMON","H","TX","34","I",FALSE,TRUE
"C00658070","NEW YORKERS AND FRIENDS FOR HOLLY LYNCH",54,"$31,786.29","$588.64","H8NY10081","LYNCH, HOLLY","H","NY","10","C",FALSE,TRUE
"C00458125","JUDY CHU FOR CONGRESS",149,"$87,228.62","$585.43","H0CA32101","CHU, JUDY","H","CA","27","I",FALSE,TRUE
"C00238907","THE REED COMMITTEE",436,"$252,268.43","$578.60","S6RI00163","REED, JOHN F.","S","RI","0 ","I",FALSE,TRUE
"C00723791","CARLUCCI FOR CONGRESS",151,"$83,148.08","$550.65","H0NY17224","CARLUCCI, DAVID","H","NY","17","C",FALSE,TRUE
