"state","transactions","sum","avg"
"CA",4611303,"$105,948,346.31","$22.98"
"NY",2023302,"$56,592,176.85","$27.97"
"TX",1349771,"$30,082,077.20","$22.29"
"MA",986956,"$27,877,539.42","$28.25"
"WA",1130042,"$22,234,514.70","$19.68"
"FL",1192643,"$22,199,428.82","$18.61"
"IL",911431,"$19,592,979.24","$21.50"
"CO",678168,"$14,864,610.81","$21.92"
"VA",661980,"$14,800,361.92","$22.36"
"PA",824841,"$14,698,995.07","$17.82"
"MD",562148,"$13,532,437.29","$24.07"
"NJ",658554,"$12,975,361.78","$19.70"
"MI",628626,"$11,609,445.81","$18.47"
"OR",697907,"$11,163,332.54","$16.00"
"AZ",596660,"$10,590,109.13","$17.75"
"NC",574721,"$9,831,222.03","$17.11"
"MN",492237,"$9,821,433.36","$19.95"
"DC",200500,"$9,503,283.31","$47.40"
"GA",484201,"$9,373,019.00","$19.36"
"OH",564003,"$8,884,962.88","$15.75"
"CT",354024,"$7,879,070.24","$22.26"
"WI",343216,"$5,579,665.60","$16.26"
"IN",317795,"$5,113,834.26","$16.09"
"MO",297856,"$5,015,636.00","$16.84"
"NM",247187,"$4,832,388.39","$19.55"
"TN",271982,"$4,681,268.64","$17.21"
"SC",225974,"$4,480,002.45","$19.83"
"NH",182831,"$3,910,902.36","$21.39"
"IA",219563,"$3,834,012.96","$17.46"
"NV",202916,"$3,781,021.96","$18.63"
"ME",171598,"$3,344,963.93","$19.49"
"KS",146943,"$2,805,087.62","$19.09"
"KY",175628,"$2,781,788.15","$15.84"
"UT",147724,"$2,728,392.82","$18.47"
"VT",138892,"$2,397,552.36","$17.26"
"OK",141254,"$2,394,009.36","$16.95"
"HI",119958,"$2,354,090.82","$19.62"
"AL",122757,"$2,095,076.70","$17.07"
"LA",117204,"$2,022,114.58","$17.25"
"RI",93359,"$1,936,085.22","$20.74"
"NE",89089,"$1,701,285.36","$19.10"
"AK",74029,"$1,694,776.72","$22.89"
"MT",86525,"$1,694,419.36","$19.58"
"AR",99907,"$1,590,784.08","$15.92"
"DE",79289,"$1,582,174.44","$19.95"
"ID",87566,"$1,344,665.58","$15.36"
"ZZ",43189,"$1,289,991.43","$29.87"
"WV",58411,"$832,289.35","$14.25"
"MS",45204,"$712,375.41","$15.76"
"WY",27372,"$633,281.53","$23.14"
"SD",33171,"$495,031.70","$14.92"
"ND",23226,"$356,243.06","$15.34"
"PR",10182,"$224,448.06","$22.04"
"VI",3371,"$194,136.64","$57.59"
"AE",7220,"$179,082.45","$24.80"
,2961,"$103,031.94","$34.80"
"ON",3809,"$82,611.47","$21.69"
"AP",3714,"$79,934.57","$21.52"
"BC",3172,"$63,899.35","$20.14"
"GU",1078,"$24,980.18","$23.17"
"AA",1094,"$22,987.36","$21.01"
"QC",1053,"$20,679.61","$19.64"
"AS",613,"$20,462.79","$33.38"
"AB",771,"$11,208.48","$14.54"
"MP",329,"$6,742.99","$20.50"
"NS",388,"$5,142.34","$13.25"
"MB",522,"$3,732.66","$7.15"
"YT",113,"$3,193.20","$28.26"
"NB",161,"$2,591.20","$16.09"
"NL",53,"$1,684.20","$31.78"
"SK",62,"$979.10","$15.79"
"PE",16,"$662.40","$41.40"
"NT",15,"$287.00","$19.13"
"UK",9,"$276.20","$30.69"
"NU",3,"$270.00","$90.00"
"RJ",5,"$235.00","$47.00"
"PW",37,"$177.00","$4.78"
"SA",28,"$132.00","$4.71"
"BO",4,"$110.00","$27.50"
"BE",1,"$100.00","$100.00"
"--",1,"$100.00","$100.00"
"AI",3,"$80.00","$26.67"
"NA",3,"$75.00","$25.00"
"TO",5,"$64.00","$12.80"
"FM",9,"$52.50","$5.83"
"WP",3,"$37.50","$12.50"
"RM",1,"$28.00","$28.00"
"WC",2,"$27.50","$13.75"
"LL",1,"$27.00","$27.00"
"VR",1,"$10.00","$10.00"
"LP",1,"$5.00","$5.00"
"SP",2,"$3.70","$1.85"
"MH",2,"$3.30","$1.65"
"09",1,"$3.00","$3.00"
"FI",1,"$2.70","$2.70"
