"zip_code","transactions","total","avg_contribution"
"02199",355,"$172,876.95","$486.98"
"37902",468,"$147,899.42","$316.02"
"20006",620,"$170,358.24","$274.77"
"02108",1754,"$464,962.86","$265.09"
"33480",2375,"$626,594.36","$263.83"
"94027",2566,"$569,548.89","$221.96"
"60602",927,"$202,548.29","$218.50"
"60606",1143,"$209,831.05","$183.58"
"94104",1032,"$186,078.73","$180.31"
"00802",687,"$122,213.76","$177.89"
"12545",917,"$160,191.69","$174.69"
"93150",323,"$53,484.11","$165.59"
"81657",740,"$116,660.74","$157.65"
"93721",353,"$55,158.38","$156.26"
"02030",1025,"$158,440.80","$154.58"
"98039",736,"$109,418.10","$148.67"
"94129",1167,"$165,503.78","$141.82"
"02116",6812,"$955,183.76","$140.22"
"02110",1050,"$142,077.15","$135.31"
"90067",3037,"$409,369.10","$134.79"
"75209",2579,"$335,392.30","$130.05"
"02493",3268,"$423,914.48","$129.72"
"02210",1668,"$208,963.99","$125.28"
"20004",824,"$100,680.47","$122.19"
"03245",419,"$49,839.97","$118.95"
"10069",1550,"$183,574.11","$118.43"
"94022",7437,"$865,984.00","$116.44"
"10507",1215,"$136,893.54","$112.67"
"08732",301,"$33,817.30","$112.35"
"02111",1374,"$151,126.02","$109.99"
"32202",285,"$31,295.12","$109.81"
"10065",9574,"$1,028,963.61","$107.47"
"33462",1967,"$211,189.71","$107.37"
"91326",4293,"$448,187.90","$104.40"
"02465",4028,"$417,087.21","$103.55"
"74119",831,"$85,500.27","$102.89"
"60043",518,"$53,229.00","$102.76"
"95031",526,"$53,489.48","$101.69"
"77024",4608,"$465,560.17","$101.03"
"22740",302,"$29,905.79","$99.03"
"83014",1384,"$136,420.23","$98.57"
"60604",263,"$25,738.84","$97.87"
"10075",9914,"$959,255.24","$96.76"
"53122",517,"$49,974.92","$96.66"
"20815",17890,"$1,712,104.33","$95.70"
"10577",552,"$52,193.33","$94.55"
"10543",2939,"$277,403.53","$94.39"
"19035",696,"$65,355.60","$93.90"
"81611",3348,"$314,283.84","$93.87"
"11545",1048,"$98,296.74","$93.79"
