"zip_code","transactions","total","avg_contribution"
"10024",40552,"$2,613,190.00","$64.44"
"10023",37597,"$2,494,829.39","$66.36"
"10011",31856,"$1,888,570.64","$59.28"
"10025",57030,"$1,764,685.84","$30.94"
"20815",17890,"$1,712,104.33","$95.70"
"10028",19746,"$1,455,412.75","$73.71"
"02138",24805,"$1,446,052.36","$58.30"
"20008",20960,"$1,408,902.55","$67.22"
"10128",25273,"$1,348,552.78","$53.36"
"11201",30752,"$1,215,633.39","$39.53"
"10003",24903,"$1,190,494.21","$47.81"
"10022",14536,"$1,185,598.68","$81.56"
"10021",15932,"$1,135,771.10","$71.29"
"94114",26678,"$1,085,514.92","$40.69"
"20016",16861,"$1,053,951.27","$62.51"
"20007",15114,"$1,034,532.78","$68.45"
"10065",9574,"$1,028,963.61","$107.47"
"94301",12530,"$1,028,631.42","$82.09"
"90049",16443,"$959,959.16","$58.38"
"10075",9914,"$959,255.24","$96.76"
"02116",6812,"$955,183.76","$140.22"
"94110",33837,"$943,010.90","$27.87"
"20009",24524,"$939,918.89","$38.33"
"94117",24619,"$920,397.86","$37.39"
"10014",17645,"$910,397.17","$51.60"
"11215",35985,"$906,383.23","$25.19"
"98112",14873,"$890,222.14","$59.85"
"94022",7437,"$865,984.00","$116.44"
"94115",14556,"$856,459.77","$58.84"
"94611",28141,"$847,754.51","$30.13"
"60614",16094,"$837,884.21","$52.06"
"94025",19261,"$828,122.14","$42.99"
"90024",12506,"$826,592.89","$66.10"
"10013",9746,"$816,110.11","$83.74"
,27668,"$795,923.23","$28.77"
"20002",20212,"$777,651.60","$38.47"
"90272",12645,"$767,020.75","$60.66"
"10019",15715,"$763,152.61","$48.56"
"20001",16022,"$759,780.07","$47.42"
"20817",13444,"$759,018.94","$56.46"
"60611",12809,"$741,193.64","$57.87"
"20003",13848,"$727,891.85","$52.56"
"92037",15840,"$721,152.71","$45.53"
"94010",10386,"$720,754.01","$69.40"
"94118",15567,"$717,425.65","$46.09"
"94941",19718,"$667,472.62","$33.85"
"78746",9685,"$665,717.07","$68.74"
"90402",8539,"$655,097.29","$76.72"
"94109",19022,"$646,417.71","$33.98"
"94062",9285,"$641,615.44","$69.10"
