"fec_id","name","candidate_fec_id","candidate_name","affiliation","office","state","district","incumbent_challenger","is_authorized_committee","is_principal_committee"
"C00722173","ALECCIA SUTTON FOR CONGRESS","H0NC03396","SUTTON, ALECCIA","DEM","H","NC","3 ","C",TRUE,FALSE
"C00696724","ROMANOFF FOR COLORADO","S0CO00286","ROMANOFF, ANDREW","DEM","S","CO","0 ","C",TRUE,FALSE
"C00676122","BOBOLSENIN 2018","H8AZ08240","OLSEN, ROBERT DEAN","DEM","H","AZ","8 ","C",TRUE,FALSE
"C00398941","NEW YORKERS FOR YVETTE D CLARKE","H4NY11138","CLARKE, YVETTE","DEM","H","NY","9 ","I",TRUE,FALSE
"C00668913","ROB ANDERSON FOR CONGRESS, LLC","H8LA03060","ANDERSON, ROBERT JON","DEM","H","LA","3 ","C",TRUE,FALSE
"C00350991","NEW YORK STATE COMMITTEE OF THE WORKING FAMILIES PARTY",,,"WOR",,,,,FALSE,FALSE
"C00641464","WOMEN'S INITIATIVE NETWORK (WIN)",,,,,,,,FALSE,FALSE
"C00690842","HOWE DEFENDS AMERICA","P00008565","HOWE, ALAN","DEM","P","US","0 ","C",FALSE,TRUE
"C00729475","RUN ANNIE GARCIA RUN","S0TX00381","GARCIA, ANNE","DEM","S","TX","0 ","C",FALSE,TRUE
"C00341990","CAROLYN'S PAC",,,,,,,,FALSE,FALSE
"C00719609","PROBLEM SOLVERS HEROES",,,,,,,,FALSE,FALSE
"C00649350","MJ FOR TEXAS","S0TX00233","HEGAR, MARY JENNINGS MJ","DEM","S","TX","0 ","C",FALSE,TRUE
"C00675843","NATIONAL ASSOCIATION OF BLACK WOMEN VOTERS, INC.",,,,,,,,FALSE,FALSE
"C00694216","MARQUS COLE FOR CONGRESS","H0GA07190","COLE, MARQUS A.","DEM","H","GA","7 ","O",FALSE,TRUE
"C00429563","VENTURA COUNTY DEMOCRATIC CENTRAL COMMITTEE",,,"DEM",,,,,FALSE,FALSE
"C00647214","TOM WELLS FOR CONGRESS","H8FL03020","WELLS, TOM BECKWITH DR.","DEM","H","FL","3 ","C",FALSE,TRUE
"C00721498","QUINN NYSTROM FOR CONGRESS","H0MN08156","NYSTROM, QUINN REABE","DFL","H","MN","8 ","C",FALSE,TRUE
"C00724435","PORTER ROSE VICTORY FUND",,,,,,,,FALSE,FALSE
"C00690263","LMG PAC",,,,,,,,FALSE,FALSE
"C00487702","WORKING FAMILIES PARTY OF OREGON",,,"WFP",,,,,FALSE,FALSE
"C00661744","ARAB AMERICAN DEMOCRATIC ACTION FUND",,,,,,,,FALSE,FALSE
"C00710467","HANKE FOR TEXAS","H0TX31105","HANKE, ERIC","DEM","H","TX","31","C",FALSE,TRUE
"C00705483","VALERIE PLAME FOR CONGRESS","H0NM03110","PLAME, VALERIE","DEM","H","NM","3 ","O",FALSE,TRUE
"C00699710","BOLD DEMOCRATS III",,,,,,,,FALSE,FALSE
"C00722736","FRIENDS OF WYNDI BROWN","H0OK04158","BROWN-FIETKAU, WYNDI LEE","DEM","H","OK","4 ","C",FALSE,TRUE
"C00513531","FILEMON VELA FOR CONGRESS","H2TX27190","VELA, FILEMON","DEM","H","TX","34","I",FALSE,TRUE
"C00422980","COHEN FOR CONGRESS","H6TN09068","COHEN, STEPHEN IRA","DEM","H","TN","9 ","I",FALSE,TRUE
"C00715359","JALEN MCLEOD '20",,,"DEM",,,,,FALSE,FALSE
"C00654236","LIFTING GENERATIONS",,,,,,,,FALSE,FALSE
"C00728311","WASHBURN FOR WISCONSIN SIXTH","H0WI06194","WASHBURN, AMY IRENE MS.","DEM","H","WI","6 ","C",FALSE,TRUE
"C00264697","FRIENDS OF SHERROD BROWN","S6OH00163","BROWN, SHERROD","DEM","S","OH","0 ",,FALSE,TRUE
"C00635391","RED TO BLUE CA",,,,,,,,FALSE,FALSE
"C00492140","AB PAC",,,,,,,,FALSE,FALSE
"C00605592","PRAMILA FOR CONGRESS","H6WA07458","JAYAPAL, PRAMILA","DEM","H","WA","7 ","I",FALSE,TRUE
"C00699744","TORRES FOR CONGRESS","H0NY15160","TORRES, RITCHIE JOHN","DEM","H","NY","15","O",FALSE,TRUE
"C00728352","DREAM DEFENDERS FIGHT PAC",,,,,,,,FALSE,FALSE
"C00696997","KOMBO FOR COLORADO","S0CO00476","KOMBO, DANIELLE","DEM","S","CO","0 ","C",FALSE,TRUE
"C00696153","JAIME HARRISON FOR US SENATE","S0SC00289","HARRISON, JAIME","DEM","S","SC","0 ","C",FALSE,TRUE
"C00708941","ANDOM FOR CONGRESS","H0NY16135","GHEBREGHIORGIS, ANDOM A.","DEM","H","NY","16","C",FALSE,TRUE
"C00648725","BRINDISI FOR CONGRESS","H8NY22151","BRINDISI, ANTHONY","DEM","H","NY","22","I",FALSE,TRUE
"C00706002","SCHIFF HOLD THE HOUSE 2020","H8CA49058","LEVIN, MIKE","DEM","H","CA","49","I",FALSE,FALSE
"C00558627","GALLEGO FOR ARIZONA","H4AZ07043","GALLEGO, RUBEN","DEM","H","AZ","7 ","I",FALSE,TRUE
"C00696054","MARIANNE WILLIAMSON FOR PRESIDENT","P00009910","WILLIAMSON, MARIANNE","DEM","P","US","0 ","C",FALSE,TRUE
"C00709527","BADRUN FOR CONGRESS",,,"DEM",,,,,FALSE,FALSE
"C00149120","THIRD CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE",,,"DEM",,,,,FALSE,FALSE
"C00662874","SRI FOR CONGRESS","H8TX22313","KULKARNI, SRI PRESTON","DEM","H","TX","22","C",FALSE,TRUE
"C00721241","SUSIE LEE VICTORY FUND 2020",,,,,,,,FALSE,FALSE
"C00575209","ANGIE CRAIG FOR CONGRESS","H6MN02131","CRAIG, ANGELA DAWN","DEM","H","MN","2 ","I",FALSE,TRUE
"C00693705","COMMITTEE FOR ADRIAN OCEGUEDA","S0TX00225","OCEGUEDA, ADRIAN","DEM","S","TX","0 ","C",FALSE,TRUE
"C00731349","COMMITTEE TO ELECT ANDREW JOHN PERKINS US SENATE","S0NM00108","PERKINS, ANDREW JOHN CPA","DEM","S","NM","0 ","O",FALSE,TRUE
"C00710665","KIM NELSON FOR CONGRESS","H0SC04281","NELSON, KIMBERLY","DEM","H","SC","4 ","C",FALSE,TRUE
"C00349233","NEW MILLENNIUM PAC",,,,,,,,FALSE,FALSE
"C00709279","SWEET FOR SENATE","S0ME00103","SWEET, BETSY","DEM","S","ME","0 ","C",FALSE,TRUE
"C00728741","CARLOS FOR CONGRESS 2020","H0IN03248","MARCANO, CARLOS CRUZ JR","DEM","H","IN","3 ","C",FALSE,TRUE
"C00713271","MAZO FOR CONGRESS","H0NJ10208","MAZO, EUGENE D.","DEM","H","NJ","10","C",FALSE,TRUE
"C00699215","FEEL THE BERN DEMOCRATIC CLUB, ORANGE COUNTY",,,,,,,,FALSE,FALSE
"C00568154","LIVONIA DEMOCRATIC CLUB",,,"DEM",,,,,FALSE,FALSE
"C00685628","VOTE TRIPLING PAC",,,,,,,,FALSE,FALSE
"C00663989","BELIEVE IN SERVICE",,,,,,,,FALSE,FALSE
"C00649327","FRIENDS OF DAN FEEHAN","H8MN01279","FEEHAN, DANIEL","DFL","H","MN","1 ","C",FALSE,TRUE
"C00628818","THE POLITICAL REVOLUTION",,,,,,,,FALSE,FALSE
"C00703256","MAGGIE TOULOUSE OLIVER FOR SENATE","S0NM00074","TOULOUSE OLIVER, MAGGIE","DEM","S","NM","0 ","O",FALSE,TRUE
"C00716613","PERSISTENCE PAC",,,,,,,,FALSE,FALSE
"C00696096","FEEL REPRESENTED",,,,,,,,FALSE,FALSE
"C00570622","VAQUERO PAC",,,,,,,,FALSE,FALSE
"C00308742","SHERMAN FOR CONGRESS","H6CA24113","SHERMAN, BRAD","DEM","H","CA","30","I",FALSE,TRUE
"C00723585","MEREDITH MATTLIN FOR CONGRESS","H0TN05325","MATTLIN, MEREDITH PAIGE","DEM","H","TN","5 ","C",FALSE,TRUE
